datetime,kWh,code_kWh,temperature,code_temperature,date,hour,month,week
2018-08-04T19:00:00Z,0.19,R,19,R,2018-08-04,19,2018-08-01,2018-07-29
2018-08-04T18:00:00Z,0.68,R,19,R,2018-08-04,18,2018-08-01,2018-07-29
2018-08-04T17:00:00Z,0.17,R,20,R,2018-08-04,17,2018-08-01,2018-07-29
2018-08-04T16:00:00Z,0.68,R,23,R,2018-08-04,16,2018-08-01,2018-07-29
2018-08-04T15:00:00Z,0.58,R,26,R,2018-08-04,15,2018-08-01,2018-07-29
2018-08-04T14:00:00Z,0.26,R,28,R,2018-08-04,14,2018-08-01,2018-07-29
2018-08-04T13:00:00Z,0.7,R,28,R,2018-08-04,13,2018-08-01,2018-07-29
2018-08-04T12:00:00Z,0.2,R,27,R,2018-08-04,12,2018-08-01,2018-07-29
2018-08-04T11:00:00Z,0.7,R,25,R,2018-08-04,11,2018-08-01,2018-07-29
2018-08-04T10:00:00Z,0.17,R,25,R,2018-08-04,10,2018-08-01,2018-07-29
2018-08-04T09:00:00Z,0.69,R,24,R,2018-08-04,9,2018-08-01,2018-07-29
2018-08-04T08:00:00Z,0.18,R,22,R,2018-08-04,8,2018-08-01,2018-07-29
2018-08-04T07:00:00Z,0.75,R,22,R,2018-08-04,7,2018-08-01,2018-07-29
2018-08-04T06:00:00Z,0.22,R,21,R,2018-08-04,6,2018-08-01,2018-07-29
2018-08-04T05:00:00Z,0.69,R,20,R,2018-08-04,5,2018-08-01,2018-07-29
2018-08-04T04:00:00Z,0.18,R,19,R,2018-08-04,4,2018-08-01,2018-07-29
2018-08-04T03:00:00Z,0.7,R,19,R,2018-08-04,3,2018-08-01,2018-07-29
2018-08-04T02:00:00Z,0.69,R,20,R,2018-08-04,2,2018-08-01,2018-07-29
2018-08-04T01:00:00Z,0.18,R,19,R,2018-08-04,1,2018-08-01,2018-07-29
2018-08-04T00:00:00Z,0.68,R,20,R,2018-08-04,0,2018-08-01,2018-07-29
2018-08-03T23:00:00Z,0.18,R,20,R,2018-08-03,23,2018-08-01,2018-07-29
2018-08-03T22:00:00Z,0.67,R,20,R,2018-08-03,22,2018-08-01,2018-07-29
2018-08-03T21:00:00Z,0.21,R,20,R,2018-08-03,21,2018-08-01,2018-07-29
2018-08-03T20:00:00Z,0.69,R,21,R,2018-08-03,20,2018-08-01,2018-07-29
2018-08-03T19:00:00Z,0.2,R,21,R,2018-08-03,19,2018-08-01,2018-07-29
2018-08-03T18:00:00Z,0.7,R,23,R,2018-08-03,18,2018-08-01,2018-07-29
2018-08-03T17:00:00Z,0.72,R,24,R,2018-08-03,17,2018-08-01,2018-07-29
2018-08-03T16:00:00Z,0.19,R,25,R,2018-08-03,16,2018-08-01,2018-07-29
2018-08-03T15:00:00Z,0.65,R,25,R,2018-08-03,15,2018-08-01,2018-07-29
2018-08-03T14:00:00Z,0.2,R,26,R,2018-08-03,14,2018-08-01,2018-07-29
2018-08-03T13:00:00Z,0.68,R,26,R,2018-08-03,13,2018-08-01,2018-07-29
2018-08-03T12:00:00Z,0.69,R,25,R,2018-08-03,12,2018-08-01,2018-07-29
2018-08-03T11:00:00Z,0.95,R,25,R,2018-08-03,11,2018-08-01,2018-07-29
2018-08-03T10:00:00Z,0.86,R,24,R,2018-08-03,10,2018-08-01,2018-07-29
2018-08-03T09:00:00Z,1.22,R,23,R,2018-08-03,9,2018-08-01,2018-07-29
2018-08-03T08:00:00Z,2.69,R,23,R,2018-08-03,8,2018-08-01,2018-07-29
2018-08-03T07:00:00Z,1.01,R,22,R,2018-08-03,7,2018-08-01,2018-07-29
2018-08-03T06:00:00Z,0.76,R,20,R,2018-08-03,6,2018-08-01,2018-07-29
2018-08-03T05:00:00Z,0.35,R,18,R,2018-08-03,5,2018-08-01,2018-07-29
2018-08-03T04:00:00Z,0.93,R,17,R,2018-08-03,4,2018-08-01,2018-07-29
2018-08-03T03:00:00Z,0.5,R,17,R,2018-08-03,3,2018-08-01,2018-07-29
2018-08-03T02:00:00Z,0.98,R,17,R,2018-08-03,2,2018-08-01,2018-07-29
2018-08-03T01:00:00Z,0.76,R,17,R,2018-08-03,1,2018-08-01,2018-07-29
2018-08-03T00:00:00Z,0.97,R,17,R,2018-08-03,0,2018-08-01,2018-07-29
