Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Audet Yves C.P.Q.;Coderre Émile P.V.Q./G.P.Q.;Lamontagne André C.A.Q.-É.F.L.;Leblanc-Marcil Andrew N.P.D.Q.;Saint-Cyr Lanoie Sarah Q.S.;Tétreault Jacques P.Q.;Vaes François P.L.Q./Q.L.P.;Vignola Jean-François P.C.Q./C.P.Q.;B.V.;B.R.;
126;Johnson;2018-10-01;G;Drummondville, v;12;;21;395;3;4;51;0;33;14;13;0;118;4;
126;Johnson;2018-10-01;G;Drummondville, v;12;;22;361;3;2;46;2;20;15;11;1;100;3;
126;Johnson;2018-10-01;G;Drummondville, v;12;;23;370;1;2;59;0;29;17;9;3;120;5;
126;Johnson;2018-10-01;G;Drummondville, v;13;;24;415;0;3;95;3;40;22;18;2;183;7;
126;Johnson;2018-10-01;G;Drummondville, v;13;;25;391;3;5;80;1;43;33;20;3;188;1;
126;Johnson;2018-10-01;G;Drummondville, v;13;;26;401;3;8;101;0;45;19;27;3;206;2;
126;Johnson;2018-10-01;G;Drummondville, v;13;;27;398;0;2;46;4;45;15;8;3;123;1;
126;Johnson;2018-10-01;G;Drummondville, v;13;;28;396;1;2;107;0;52;25;17;2;206;2;
126;Johnson;2018-10-01;G;Drummondville, v;13;;29;394;3;8;88;1;39;26;24;2;191;1;
126;Johnson;2018-10-01;G;Drummondville, v;14;;30;394;2;3;83;4;44;31;25;5;197;4;
126;Johnson;2018-10-01;G;Drummondville, v;14;;31;413;2;4;82;2;32;15;22;6;165;5;
126;Johnson;2018-10-01;G;Drummondville, v;14;;32;403;0;3;97;0;35;39;43;1;218;2;
126;Johnson;2018-10-01;G;Drummondville, v;14;;33;389;2;1;77;3;33;17;20;4;157;14;
126;Johnson;2018-10-01;G;Drummondville, v;14;;34;405;3;3;89;0;31;14;10;5;155;7;
126;Johnson;2018-10-01;G;Drummondville, v;14;;35;419;0;3;125;1;36;25;27;6;223;4;
126;Johnson;2018-10-01;G;Drummondville, v;14;;36A;238;1;0;63;3;21;13;14;1;116;5;
126;Johnson;2018-10-01;G;Drummondville, v;14;;36B;219;0;2;70;2;21;21;11;2;129;2;
126;Johnson;2018-10-01;G;Drummondville, v;14;;37;380;1;3;142;2;26;32;26;1;233;2;
126;Johnson;2018-10-01;G;Drummondville, v;14;;38;385;1;1;121;0;28;33;26;2;212;0;
126;Johnson;2018-10-01;G;Drummondville, v;14;;39;406;1;3;95;3;27;19;35;4;187;6;
126;Johnson;2018-10-01;G;Drummondville, v;14;;40;418;0;2;129;2;25;27;24;1;210;5;
126;Johnson;2018-10-01;G;Drummondville, v;14;;41;421;0;2;92;1;37;17;18;2;169;7;
126;Johnson;2018-10-01;G;Drummondville, v;14;;42;374;0;1;96;1;29;22;25;1;175;3;
126;Johnson;2018-10-01;G;Drummondville, v;15;;43;407;2;5;144;0;52;17;25;3;248;5;
126;Johnson;2018-10-01;G;Drummondville, v;15;;44;397;1;4;155;1;29;23;34;4;251;9;
126;Johnson;2018-10-01;G;Drummondville, v;15;;45;385;2;3;128;2;40;32;36;7;250;6;
126;Johnson;2018-10-01;G;Drummondville, v;16;;46;377;0;4;111;0;32;20;10;2;179;6;
126;Johnson;2018-10-01;G;Drummondville, v;16;;47;357;2;2;75;3;29;16;23;0;150;2;
126;Johnson;2018-10-01;G;Drummondville, v;16;;48;373;0;4;97;2;26;33;12;2;176;1;
126;Johnson;2018-10-01;G;Drummondville, v;16;;49;366;1;3;115;1;27;29;34;1;211;1;
126;Johnson;2018-10-01;G;Drummondville, v;16;;50;377;0;3;130;2;39;18;42;1;235;5;
