Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Belleau Mona N.P.D.Q.;Gagnon Jonathan P.Q.;Isufi Sabir P.V.Q./G.P.Q.;Lajoie Francis Q.S.;Lévesque Sylvain C.A.Q.-É.F.L.;Pouliot Adrien P.C.Q./C.P.Q.;Tremblay Véronyque P.L.Q./Q.L.P.;B.V.;B.R.
754;Chauveau;2018-10-01;G;Québec, v;120;;53;364;1;13;5;9;84;19;35;166;4
754;Chauveau;2018-10-01;G;Québec, v;120;;54;362;2;15;3;20;102;13;30;185;1
754;Chauveau;2018-10-01;G;Québec, v;120;;55;368;3;14;1;10;86;14;41;169;4
754;Chauveau;2018-10-01;G;Québec, v;120;;56;392;1;15;2;20;105;14;43;200;5
754;Chauveau;2018-10-01;G;Québec, v;120;;57;350;2;17;0;21;78;9;32;159;6
754;Chauveau;2018-10-01;G;Québec, v;121;;58A;223;1;7;3;13;34;2;16;76;0
754;Chauveau;2018-10-01;G;Québec, v;121;;58B;233;1;12;0;6;47;10;20;96;5
754;Chauveau;2018-10-01;G;Québec, v;121;;59;394;0;16;3;14;94;27;37;191;1
754;Chauveau;2018-10-01;G;Québec, v;121;;60;396;0;9;2;15;92;14;34;166;2
754;Chauveau;2018-10-01;G;Québec, v;121;;61;417;0;24;4;15;114;26;33;216;3
754;Chauveau;2018-10-01;G;Québec, v;121;;62;386;0;16;0;13;101;23;40;193;8
754;Chauveau;2018-10-01;G;Québec, v;121;;63;391;2;12;0;17;103;21;44;199;4
754;Chauveau;2018-10-01;G;Québec, v;121;;64;387;0;14;3;12;104;29;29;191;2
754;Chauveau;2018-10-01;G;Québec, v;121;;65;395;0;8;2;15;115;36;36;212;4
754;Chauveau;2018-10-01;G;Québec, v;121;;66;389;2;11;2;17;84;32;25;173;2
754;Chauveau;2018-10-01;G;Québec, v;121;;67;390;0;11;2;19;83;26;19;160;6
754;Chauveau;2018-10-01;G;Québec, v;121;;68;405;1;15;2;19;83;32;40;192;29
754;Chauveau;2018-10-01;G;Québec, v;121;;69;381;2;13;3;23;95;35;31;202;6
754;Chauveau;2018-10-01;G;Québec, v;122;;70;333;0;15;1;10;81;15;38;160;3
754;Chauveau;2018-10-01;G;Québec, v;122;;71;343;0;13;0;20;94;21;31;179;5
754;Chauveau;2018-10-01;G;Québec, v;122;;72;330;0;4;0;10;77;17;31;139;2
754;Chauveau;2018-10-01;G;Québec, v;123;;73;390;1;32;11;39;67;21;28;199;6
754;Chauveau;2018-10-01;G;Québec, v;123;;74;393;1;20;6;28;101;22;42;220;5
754;Chauveau;2018-10-01;G;Québec, v;123;;75;398;0;15;7;26;99;18;36;201;4
754;Chauveau;2018-10-01;G;Québec, v;123;;76;391;1;11;5;13;111;10;47;198;8
754;Chauveau;2018-10-01;G;Québec, v;123;;77;394;0;20;5;18;87;25;32;187;5
754;Chauveau;2018-10-01;G;Québec, v;123;;78;374;0;15;3;15;100;29;20;182;4
754;Chauveau;2018-10-01;G;Québec, v;123;;79;372;3;6;4;12;112;28;24;189;2
754;Chauveau;2018-10-01;G;Québec, v;123;;80;382;3;13;2;11;108;25;37;199;3
754;Chauveau;2018-10-01;G;Québec, v;123;;81;404;2;18;5;25;95;22;33;200;9
754;Chauveau;2018-10-01;G;Québec, v;123;;82;391;1;9;5;21;118;16;33;203;0
754;Chauveau;2018-10-01;G;Québec, v;123;;83;388;1;15;5;19;99;17;36;192;8
754;Chauveau;2018-10-01;G;Québec, v;123;;84;383;2;15;1;15;82;10;27;152;7
754;Chauveau;2018-10-01;G;Québec, v;123;;85;388;2;13;3;21;89;31;21;180;3
754;Chauveau;2018-10-01;G;Québec, v;123;;86;412;1;16;1;16;105;18;26;183;2
754;Chauveau;2018-10-01;G;Québec, v;124;;87;359;1;16;2;16;83;12;22;152;1
754;Chauveau;2018-10-01;G;Québec, v;124;;88;356;1;9;1;11;83;19;21;145;3
754;Chauveau;2018-10-01;G;Québec, v;124;;89;382;0;17;2;19;92;16;34;180;2
754;Chauveau;2018-10-01;G;Québec, v;124;;90;366;2;23;2;19;71;22;30;169;2
754;Chauveau;2018-10-01;G;Québec, v;124;;91;342;1;16;3;19;76;13;35;163;5
754;Chauveau;2018-10-01;G;Québec, v;124;;92;357;0;14;3;12;80;23;39;171;3
754;Chauveau;2018-10-01;G;Québec, v;125;;93;383;4;11;3;21;102;15;46;202;0
754;Chauveau;2018-10-01;G;Québec, v;125;;94;376;0;10;4;18;95;11;33;171;0
754;Chauveau;2018-10-01;G;Québec, v;125;;95;359;4;19;2;18;73;14;23;153;2
754;Chauveau;2018-10-01;G;Québec, v;125;;96;371;1;21;6;20;95;8;28;179;4
754;Chauveau;2018-10-01;G;Québec, v;125;;97;387;0;19;2;26;94;17;29;187;8
754;Chauveau;2018-10-01;G;Québec, v;125;;98;376;5;16;4;18;86;17;32;178;3
754;Chauveau;2018-10-01;G;Québec, v;125;;99;376;5;10;0;11;80;18;24;148;2
754;Chauveau;2018-10-01;G;Québec, v;126;;100;353;1;26;3;19;90;10;35;184;2
754;Chauveau;2018-10-01;G;Québec, v;126;;101;371;1;49;3;28;77;6;45;209;2
754;Chauveau;2018-10-01;G;Québec, v;126;;102;359;3;20;2;16;97;12;48;198;7
754;Chauveau;2018-10-01;G;Québec, v;126;;103;358;0;12;2;9;80;8;31;142;1
754;Chauveau;2018-10-01;G;Québec, v;126;;104;360;1;14;0;37;78;16;31;177;9
754;Chauveau;2018-10-01;G;Québec, v;126;;105;377;1;6;3;10;106;4;30;160;2
754;Chauveau;2018-10-01;G;Québec, v;126;;106;364;1;16;2;12;102;8;21;162;0
754;Chauveau;2018-10-01;G;Québec, v;127;;107;389;0;19;7;24;100;10;37;197;4
754;Chauveau;2018-10-01;G;Québec, v;127;;108;365;1;9;2;13;98;19;48;190;2
754;Chauveau;2018-10-01;G;Québec, v;127;;109A;222;1;1;1;2;55;6;19;85;1
754;Chauveau;2018-10-01;G;Québec, v;127;;109B;257;1;15;0;19;67;14;17;133;3
754;Chauveau;2018-10-01;G;Wendake, r;1;;110;393;2;8;1;14;44;15;34;118;2
754;Chauveau;2018-10-01;G;Wendake, r;1;;111;400;2;3;1;15;47;9;65;142;4
754;Chauveau;2018-10-01;G;Wendake, r;1;;112A;227;0;3;0;6;50;3;14;76;4
754;Chauveau;2018-10-01;G;Wendake, r;1;;112B;209;3;3;3;16;43;5;12;85;0
754;Chauveau;2018-10-01;G;Wendake, r;1;;113;408;5;14;6;6;68;10;71;180;5
754;Chauveau;2018-10-01;G;Lac-Beauport, m;1;;114;400;2;19;8;31;93;5;58;216;3
754;Chauveau;2018-10-01;G;Lac-Beauport, m;1;;115;386;0;14;2;13;83;17;70;199;4
754;Chauveau;2018-10-01;G;Lac-Beauport, m;1;;116;377;0;14;6;22;72;13;59;186;6
754;Chauveau;2018-10-01;G;Lac-Beauport, m;1;;117;394;0;18;3;15;97;10;66;209;3
754;Chauveau;2018-10-01;G;Lac-Beauport, m;1;;118;396;2;20;2;13;96;12;40;185;3
754;Chauveau;2018-10-01;G;Lac-Beauport, m;1;;119;379;0;21;5;11;67;13;73;190;2
754;Chauveau;2018-10-01;G;Lac-Beauport, m;1;;120;393;1;27;8;23;86;15;64;224;7
754;Chauveau;2018-10-01;G;Lac-Beauport, m;1;;121;388;0;12;3;24;104;15;46;204;4
754;Chauveau;2018-10-01;G;Lac-Beauport, m;1;;122;410;1;21;3;21;73;20;48;187;3
754;Chauveau;2018-10-01;G;Lac-Beauport, m;1;;123;389;2;27;7;36;83;4;58;217;0
754;Chauveau;2018-10-01;G;Lac-Beauport, m;1;;124;382;0;25;3;19;70;14;60;191;7
754;Chauveau;2018-10-01;G;Lac-Beauport, m;1;;125;389;2;22;1;24;72;15;38;174;3
754;Chauveau;2018-10-01;G;Lac-Beauport, m;1;;126;380;1;29;2;19;87;10;60;208;7
754;Chauveau;2018-10-01;G;Lac-Beauport, m;1;;127;399;0;11;6;25;100;20;63;225;4
754;Chauveau;2018-10-01;G;Lac-Beauport, m;1;;128;385;0;11;5;16;108;18;55;213;3
754;Chauveau;2018-10-01;G;Stoneham-et-Tewkesbury, cu;1;;129;402;1;7;3;17;80;20;47;175;9
754;Chauveau;2018-10-01;G;Stoneham-et-Tewkesbury, cu;1;;130;390;1;22;2;31;85;17;30;188;4
