Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Boivin Guy É.A.;Dorion Catherine Q.S.;Duguay Roger N.P.D.Q.;Grégoire Élisabeth P.V.Q./G.P.Q.;Lavallée Diane P.Q.;Lavoie Christian C.P.Q.;Pouliot Nicolas P.N.;Solomykina Svetlana C.A.Q.-É.F.L.;Tanlet Florent P.L.Q./Q.L.P.;B.V.;B.R.;
730;Taschereau;2018-10-01;G;Québec, v;51;;83;376;0;107;0;3;23;0;2;38;18;191;2;
730;Taschereau;2018-10-01;G;Québec, v;52;;84;403;0;127;0;7;20;0;0;20;19;193;3;
730;Taschereau;2018-10-01;G;Québec, v;52;;85;381;0;88;4;7;23;0;2;31;32;187;1;
730;Taschereau;2018-10-01;G;Québec, v;52;;86;342;2;79;1;3;20;0;2;20;23;150;3;
730;Taschereau;2018-10-01;G;Québec, v;52;;87;371;0;81;2;2;6;1;3;14;24;133;6;
730;Taschereau;2018-10-01;G;Québec, v;52;;88;394;0;112;2;1;14;1;1;18;10;159;0;
730;Taschereau;2018-10-01;G;Québec, v;52;;89;399;1;102;1;3;24;2;4;19;10;166;6;
730;Taschereau;2018-10-01;G;Québec, v;53;;90;295;0;66;0;2;10;0;0;22;9;109;0;
730;Taschereau;2018-10-01;G;Québec, v;53;;91;348;0;99;0;2;29;1;2;19;11;163;3;
730;Taschereau;2018-10-01;G;Québec, v;53;;92;352;0;112;2;3;17;0;3;26;13;176;6;
730;Taschereau;2018-10-01;G;Québec, v;53;;93;349;1;65;3;1;32;0;1;34;25;162;0;
730;Taschereau;2018-10-01;G;Québec, v;53;;94;362;0;103;1;0;20;0;2;41;14;181;4;
730;Taschereau;2018-10-01;G;Québec, v;53;;95;424;0;129;0;4;30;3;1;50;18;235;4;
730;Taschereau;2018-10-01;G;Québec, v;53;;96;348;0;96;0;4;21;0;4;36;19;180;7;
730;Taschereau;2018-10-01;G;Québec, v;54;;97;372;0;115;1;1;24;2;1;50;17;211;6;
730;Taschereau;2018-10-01;G;Québec, v;54;;98;362;0;92;0;4;36;0;2;44;27;205;1;
730;Taschereau;2018-10-01;G;Québec, v;54;;99;359;0;106;1;6;29;3;1;43;31;220;0;
730;Taschereau;2018-10-01;G;Québec, v;54;;100;349;1;60;3;4;21;0;1;53;15;158;6;
730;Taschereau;2018-10-01;G;Québec, v;54;;101;352;1;99;0;5;24;1;3;43;18;194;0;
730;Taschereau;2018-10-01;G;Québec, v;55;;102;401;4;78;2;2;25;3;4;58;35;211;6;
730;Taschereau;2018-10-01;G;Québec, v;55;;103;336;1;51;0;2;27;3;3;64;35;186;5;
730;Taschereau;2018-10-01;G;Québec, v;55;;104;344;1;37;1;3;55;1;0;48;20;166;1;
730;Taschereau;2018-10-01;G;Québec, v;55;;105;352;1;75;1;3;23;1;3;25;15;147;0;
730;Taschereau;2018-10-01;G;Québec, v;55;;106;342;0;103;0;3;22;1;1;24;26;180;6;
730;Taschereau;2018-10-01;G;Québec, v;55;;107;342;1;45;0;4;16;1;3;31;19;120;3;
730;Taschereau;2018-10-01;G;Québec, v;55;;108;337;0;67;1;3;25;0;3;43;13;155;3;
730;Taschereau;2018-10-01;G;Québec, v;55;;109;334;1;81;2;3;14;0;0;20;13;134;2;
730;Taschereau;2018-10-01;G;Québec, v;55;;110;363;0;85;0;2;21;3;0;21;22;154;2;
730;Taschereau;2018-10-01;G;Québec, v;55;;111;346;2;58;1;5;19;1;0;22;14;122;4;
730;Taschereau;2018-10-01;G;Québec, v;55;;112;364;0;80;0;0;32;0;5;21;18;156;1;
730;Taschereau;2018-10-01;G;Québec, v;56;;113;370;0;121;1;2;36;0;0;18;17;195;2;
730;Taschereau;2018-10-01;G;Québec, v;56;;114;386;0;96;0;3;28;1;1;17;12;158;2;
730;Taschereau;2018-10-01;G;Québec, v;56;;115;380;0;101;0;3;22;5;1;25;13;170;3;
730;Taschereau;2018-10-01;G;Québec, v;56;;116;344;1;92;0;4;23;0;1;14;29;164;0;
730;Taschereau;2018-10-01;G;Québec, v;56;;117;366;0;86;1;2;31;1;1;30;23;175;1;
730;Taschereau;2018-10-01;G;Québec, v;57;;118;383;0;64;2;7;28;0;0;27;41;169;1;
730;Taschereau;2018-10-01;G;Québec, v;57;;119;390;0;70;1;5;46;1;2;27;40;192;1;
730;Taschereau;2018-10-01;G;Québec, v;57;;120;360;0;50;1;2;39;0;0;32;39;163;0;
730;Taschereau;2018-10-01;G;Québec, v;57;;121;381;1;81;3;4;37;1;2;29;30;188;1;
730;Taschereau;2018-10-01;G;Québec, v;57;;122;359;0;62;2;2;34;0;0;23;24;147;2;
730;Taschereau;2018-10-01;G;Québec, v;58;;123;388;0;80;0;9;32;0;2;24;17;164;6;
730;Taschereau;2018-10-01;G;Québec, v;58;;124;364;0;52;0;3;33;1;0;51;45;185;0;
