Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Asselin Mario C.A.Q.-É.F.L.;Côté Carl Ind;Dallaire David C.P.Q.;Duquette William P.Q.;Fortin Alain P.C.Q./C.P.Q.;Huot Patrick P.L.Q./Q.L.P.;Poliquin Carl-André P.N.;Raymond Samuel P.V.Q./G.P.Q.;Voisine Monique Q.S.;B.V.;B.R.;
726;Vanier-Les Rivières;2018-10-01;G;Québec, v;107;;91;407;77;2;3;25;12;30;1;3;22;175;3;
726;Vanier-Les Rivières;2018-10-01;G;Québec, v;107;;92;404;95;3;1;15;5;36;1;6;32;194;4;
726;Vanier-Les Rivières;2018-10-01;G;Québec, v;107;;93;389;94;1;1;31;6;44;4;4;38;223;7;
726;Vanier-Les Rivières;2018-10-01;G;Québec, v;107;;94;401;101;1;2;32;14;39;2;6;33;230;3;
726;Vanier-Les Rivières;2018-10-01;G;Québec, v;107;;95;402;109;1;1;16;6;39;5;2;34;213;5;
726;Vanier-Les Rivières;2018-10-01;G;Québec, v;107;;96;398;75;1;1;21;8;41;3;5;25;180;3;
726;Vanier-Les Rivières;2018-10-01;G;Québec, v;107;;97;398;96;2;2;21;6;43;2;6;28;206;8;
726;Vanier-Les Rivières;2018-10-01;G;Québec, v;107;;98;406;101;0;0;26;8;49;2;7;30;223;2;
726;Vanier-Les Rivières;2018-10-01;G;Québec, v;107;;99;395;64;2;0;13;3;40;2;3;30;157;4;
726;Vanier-Les Rivières;2018-10-01;G;Québec, v;107;;100;377;45;0;6;19;3;27;3;4;29;136;2;
726;Vanier-Les Rivières;2018-10-01;G;Québec, v;107;;101;383;61;1;3;22;10;28;2;3;39;169;3;
726;Vanier-Les Rivières;2018-10-01;G;Québec, v;107;;102;409;64;1;3;13;3;23;2;9;32;150;4;
726;Vanier-Les Rivières;2018-10-01;G;Québec, v;107;;103;389;64;1;1;21;10;27;2;3;33;162;3;
726;Vanier-Les Rivières;2018-10-01;G;Québec, v;108;;104;386;70;2;3;24;5;34;2;6;38;184;6;
726;Vanier-Les Rivières;2018-10-01;G;Québec, v;108;;105;382;62;3;4;23;7;36;2;3;25;165;5;
726;Vanier-Les Rivières;2018-10-01;G;Québec, v;108;;106;383;107;1;2;18;6;38;1;1;24;198;8;
726;Vanier-Les Rivières;2018-10-01;G;Québec, v;108;;107;399;100;2;1;17;7;44;1;8;29;209;5;
726;Vanier-Les Rivières;2018-10-01;G;Québec, v;108;;108;394;100;2;2;24;12;74;3;5;25;247;3;
726;Vanier-Les Rivières;2018-10-01;G;Québec, v;108;;109;381;89;1;0;21;4;55;2;7;36;215;3;
726;Vanier-Les Rivières;2018-10-01;G;Québec, v;108;;110;400;106;2;2;28;9;50;1;2;40;240;4;
726;Vanier-Les Rivières;2018-10-01;G;Québec, v;108;;111;402;96;1;0;35;17;50;2;3;33;237;5;
726;Vanier-Les Rivières;2018-10-01;G;Québec, v;108;;112;393;100;0;4;18;13;44;2;5;25;211;4;
726;Vanier-Les Rivières;2018-10-01;G;Québec, v;108;;113;381;102;0;2;24;12;38;0;2;18;198;0;
726;Vanier-Les Rivières;2018-10-01;G;Québec, v;108;;114;392;90;1;2;18;12;60;4;7;42;236;5;
726;Vanier-Les Rivières;2018-10-01;G;Québec, v;108;;115A;263;52;1;0;10;7;39;0;4;16;129;0;
726;Vanier-Les Rivières;2018-10-01;G;Québec, v;108;;115B;269;72;0;0;14;3;20;2;0;10;121;5;
726;Vanier-Les Rivières;2018-10-01;G;Québec, v;109;;116;360;98;1;0;12;7;46;1;2;29;196;5;
726;Vanier-Les Rivières;2018-10-01;G;Québec, v;109;;117;361;80;3;1;10;7;54;2;2;15;174;4;
726;Vanier-Les Rivières;2018-10-01;G;Québec, v;109;;118;350;69;1;0;8;3;32;1;3;15;132;7;
726;Vanier-Les Rivières;2018-10-01;G;Québec, v;109;;119;362;82;0;0;20;6;49;1;6;14;178;5;
726;Vanier-Les Rivières;2018-10-01;G;Québec, v;109;;120;362;46;1;3;11;2;24;1;1;17;106;2;
726;Vanier-Les Rivières;2018-10-01;G;Québec, v;109;;121;368;76;2;1;9;9;32;1;3;28;161;7;
726;Vanier-Les Rivières;2018-10-01;G;Québec, v;109;;122;368;82;0;4;12;1;25;2;6;36;168;1;
726;Vanier-Les Rivières;2018-10-01;G;Québec, v;109;;123;356;54;2;1;9;3;27;0;5;20;121;2;
726;Vanier-Les Rivières;2018-10-01;G;Québec, v;110;;124;382;70;3;2;18;1;22;0;4;21;141;3;
726;Vanier-Les Rivières;2018-10-01;G;Québec, v;110;;125;348;59;2;2;21;5;27;2;1;18;137;0;
726;Vanier-Les Rivières;2018-10-01;G;Québec, v;110;;126;373;86;2;1;13;4;30;0;3;21;160;3;
726;Vanier-Les Rivières;2018-10-01;G;Québec, v;110;;127;366;60;1;1;11;2;27;2;1;18;123;0;
726;Vanier-Les Rivières;2018-10-01;G;Québec, v;110;;128;363;63;0;1;16;6;27;0;0;23;136;1;
726;Vanier-Les Rivières;2018-10-01;G;Québec, v;110;;129;373;69;1;2;8;6;34;0;3;27;150;4;
726;Vanier-Les Rivières;2018-10-01;G;Québec, v;110;;130;389;72;2;3;11;6;29;0;0;22;145;4;
726;Vanier-Les Rivières;2018-10-01;G;Québec, v;110;;131;350;60;0;0;12;6;23;4;2;17;124;2;
726;Vanier-Les Rivières;2018-10-01;G;Québec, v;110;;132;360;79;3;0;9;9;36;1;1;24;162;4;
726;Vanier-Les Rivières;2018-10-01;G;Québec, v;110;;133;379;75;1;1;14;4;39;1;3;28;166;7;
726;Vanier-Les Rivières;2018-10-01;G;Québec, v;110;;134;387;64;3;1;15;6;18;0;3;27;137;2;
726;Vanier-Les Rivières;2018-10-01;G;Québec, v;110;;135;344;56;1;2;10;2;19;2;3;19;114;7;
726;Vanier-Les Rivières;2018-10-01;G;Québec, v;110;;136;389;54;1;2;15;3;26;0;3;31;135;7;
726;Vanier-Les Rivières;2018-10-01;G;Québec, v;111;;137;388;29;1;2;15;6;39;1;4;31;128;1;
726;Vanier-Les Rivières;2018-10-01;G;Québec, v;111;;138;395;61;0;0;39;0;35;1;1;49;186;0;
726;Vanier-Les Rivières;2018-10-01;G;Québec, v;111;;139;383;67;0;0;41;5;60;3;2;21;199;3;
726;Vanier-Les Rivières;2018-10-01;G;Québec, v;111;;140;397;44;0;0;25;1;43;1;2;28;144;0;
726;Vanier-Les Rivières;2018-10-01;G;Québec, v;103;Regr. BVO-31;500;197;0;0;0;0;0;0;0;0;0;0;0;
726;Vanier-Les Rivières;2018-10-01;G;Québec, v;103;Regr. BVO-37;501;223;0;0;0;0;0;0;0;0;0;0;0;
726;Vanier-Les Rivières;2018-10-01;G;Québec, v;105;Regr. BVO-66;502;165;0;0;0;0;0;0;0;0;0;0;0;
726;Vanier-Les Rivières;2018-10-01;G;Québec, v;105;Regr. BVO-73;503;403;0;0;0;0;0;0;0;0;0;0;0;
726;Vanier-Les Rivières;2018-10-01;G;Québec, v;106;Regr. BVO-84;504;26;0;0;0;0;0;0;0;0;0;0;0;
726;Vanier-Les Rivières;2018-10-01;G;Québec, v;107;Regr. BVO-101;505;225;0;0;0;0;0;0;0;0;0;0;0;
726;Vanier-Les Rivières;2018-10-01;G;Québec, v;108;Regr. BVO-104;506;132;0;0;0;0;0;0;0;0;0;0;0;
726;Vanier-Les Rivières;2018-10-01;G;Québec, v;109;Regr. BVO-119;507;36;0;0;0;0;0;0;0;0;0;0;0;
726;Vanier-Les Rivières;2018-10-01;G;Québec, v;110;Regr. BVO-127;509;324;0;0;0;0;0;0;0;0;0;0;0;
726;Vanier-Les Rivières;2018-10-01;G;Québec, v;110;Regr. BVO-127;510;165;0;0;0;0;0;0;0;0;0;0;0;
