Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Auger Pierre Michel P.L.Q./Q.L.P.;Dufresne Stéphanie P.V.Q./G.P.Q.;Fortin Pierre-Benoit P.C.Q./C.P.Q.;Gauthier Éric É.A.;Lebel Sonia C.A.Q.-É.F.L.;Leclerc Gaëtan P.Q.;Rouss Anthony B.P.;Roy Cullen Steven Q.S.;B.V.;B.R.
676;Champlain;2018-10-01;G;Saint-Narcisse, p;1;;141;366;47;5;2;0;147;23;0;23;247;1
676;Champlain;2018-10-01;G;Saint-Stanislas, m;1;;142;290;33;6;0;0;87;13;0;19;158;4
676;Champlain;2018-10-01;G;Saint-Stanislas, m;1;;143;294;49;3;5;0;92;18;1;14;182;2
676;Champlain;2018-10-01;G;Saint-Stanislas, m;1;;144;292;33;1;3;0;105;18;1;18;179;4
676;Champlain;2018-10-01;G;Saint-Prosper-de-Champlain, m;1;;145;231;34;3;2;1;57;12;0;25;134;4
676;Champlain;2018-10-01;G;Saint-Prosper-de-Champlain, m;1;;146;232;22;5;5;0;62;16;0;21;131;2
676;Champlain;2018-10-01;G;Sainte-Anne-de-la-Pérade, m;1;;147;401;41;2;1;0;110;37;1;17;209;3
676;Champlain;2018-10-01;G;Sainte-Anne-de-la-Pérade, m;1;;148;394;53;4;7;0;100;31;1;28;224;9
676;Champlain;2018-10-01;G;Sainte-Anne-de-la-Pérade, m;1;;149;393;48;3;5;1;107;28;0;27;219;2
676;Champlain;2018-10-01;G;Sainte-Anne-de-la-Pérade, m;1;;150;399;44;1;6;0;126;18;1;29;225;5
676;Champlain;2018-10-01;G;Sainte-Geneviève-de-Batiscan, p;1;;151;285;41;4;2;0;74;14;0;9;144;5
676;Champlain;2018-10-01;G;Sainte-Geneviève-de-Batiscan, p;1;;152;296;30;2;3;0;72;18;1;43;169;2
676;Champlain;2018-10-01;G;Sainte-Geneviève-de-Batiscan, p;1;;153;290;33;2;1;1;104;10;1;15;167;2
676;Champlain;2018-10-01;G;Batiscan, m;1;;154;411;30;6;1;2;116;25;2;35;217;3
