Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Bérubé Pascal P.Q.;Boucher Marie-Phare Q.S.;Coulombe Pierre-Luc P.V.Q./G.P.Q.;Fournier Annie P.L.Q./Q.L.P.;Quenum Mathieu C.A.Q.-É.F.L.;Rioux Jocelyn C.P.Q.;Vignola Paul-Émile P.C.Q./C.P.Q.;B.V.;B.R.;
842;Matane-Matapédia;2018-10-01;G;Amqui, v;1;;81;331;116;8;0;6;11;0;0;141;0;
842;Matane-Matapédia;2018-10-01;G;Amqui, v;1;;82;365;109;5;1;5;12;1;2;135;0;
842;Matane-Matapédia;2018-10-01;G;Saint-Léon-le-Grand, p;1;;83;377;133;10;3;15;23;1;1;186;0;
842;Matane-Matapédia;2018-10-01;G;Saint-Léon-le-Grand, p;1;;84;381;145;13;1;18;17;0;1;195;0;
842;Matane-Matapédia;2018-10-01;G;Saint-Zénon-du-Lac-Humqui, p;1;;85;299;114;4;2;14;21;0;1;156;1;
842;Matane-Matapédia;2018-10-01;G;Sainte-Irène, p;1;;86;266;104;9;1;10;18;1;1;144;1;
842;Matane-Matapédia;2018-10-01;G;Val-Brillant, m;1;;87;366;131;14;3;16;19;1;0;184;2;
842;Matane-Matapédia;2018-10-01;G;Val-Brillant, m;1;;88;355;149;9;0;12;22;1;0;193;2;
842;Matane-Matapédia;2018-10-01;G;Sayabec, m;1;;89;359;135;7;0;13;12;2;1;170;0;
842;Matane-Matapédia;2018-10-01;G;Sayabec, m;1;;90;358;99;2;0;18;11;0;0;130;0;
842;Matane-Matapédia;2018-10-01;G;Sayabec, m;1;;91;354;108;5;1;11;9;0;2;136;1;
842;Matane-Matapédia;2018-10-01;G;Sayabec, m;1;;92;322;106;3;0;17;9;0;0;135;1;
842;Matane-Matapédia;2018-10-01;G;Saint-Cléophas, p;1;;93;264;93;3;0;4;18;0;1;119;1;
842;Matane-Matapédia;2018-10-01;G;Saint-Moïse, p;1;;94;232;80;4;0;17;15;2;0;118;0;
842;Matane-Matapédia;2018-10-01;G;Saint-Moïse, p;1;;95;201;84;7;0;23;9;1;1;125;1;
842;Matane-Matapédia;2018-10-01;G;Saint-Noël, vl;1;;96;329;123;3;3;11;17;3;0;160;0;
842;Matane-Matapédia;2018-10-01;G;Saint-Damase, p;1;;97;286;136;4;1;25;15;0;0;181;3;
