Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Blais François P.L.Q./Q.L.P.;Germain Élisabeth Q.S.;Julien Jonatan C.A.Q.-É.F.L.;Morin Annie P.Q.;Pelletier Daniel É.A.;Tremblay Valérie P.C.Q./C.P.Q.;B.V.;B.R.
748;Charlesbourg;2018-10-01;G;Québec, v;97;;108;371;44;23;71;22;1;12;173;3
748;Charlesbourg;2018-10-01;G;Québec, v;97;;109;385;35;21;87;17;2;5;167;0
748;Charlesbourg;2018-10-01;G;Québec, v;97;;110;377;53;23;99;30;0;2;207;6
748;Charlesbourg;2018-10-01;G;Québec, v;97;;111;380;28;18;87;23;0;8;164;7
748;Charlesbourg;2018-10-01;G;Québec, v;97;;112;389;41;19;109;16;0;8;193;3
748;Charlesbourg;2018-10-01;G;Québec, v;97;;113;372;25;28;92;16;0;7;168;2
748;Charlesbourg;2018-10-01;G;Québec, v;98;;114A;229;20;8;46;6;0;2;82;2
748;Charlesbourg;2018-10-01;G;Québec, v;98;;114B;215;12;19;41;7;0;7;86;6
748;Charlesbourg;2018-10-01;G;Québec, v;98;;115;404;47;39;109;31;1;2;229;5
748;Charlesbourg;2018-10-01;G;Québec, v;98;;116;415;57;23;118;16;0;10;224;3
748;Charlesbourg;2018-10-01;G;Québec, v;98;;117;407;37;23;145;20;1;15;241;4
748;Charlesbourg;2018-10-01;G;Québec, v;98;;118;410;52;32;120;23;0;9;236;4
748;Charlesbourg;2018-10-01;G;Québec, v;98;;119;406;27;27;113;23;0;11;201;6
748;Charlesbourg;2018-10-01;G;Québec, v;98;;120;399;39;19;82;21;0;5;166;4
748;Charlesbourg;2018-10-01;G;Québec, v;98;;121;393;42;25;63;20;0;3;153;0
748;Charlesbourg;2018-10-01;G;Québec, v;98;;122;411;39;16;100;13;1;10;179;10
748;Charlesbourg;2018-10-01;G;Québec, v;98;;123;423;48;25;118;17;0;11;219;1
748;Charlesbourg;2018-10-01;G;Québec, v;98;;124;413;33;15;81;19;0;5;153;3
748;Charlesbourg;2018-10-01;G;Québec, v;99;;125;354;54;19;89;15;0;5;182;4
748;Charlesbourg;2018-10-01;G;Québec, v;99;;126;366;31;33;102;18;1;10;195;5
748;Charlesbourg;2018-10-01;G;Québec, v;99;;127;359;20;19;70;17;0;4;130;5
748;Charlesbourg;2018-10-01;G;Québec, v;99;;128;358;26;32;92;18;1;12;181;7
748;Charlesbourg;2018-10-01;G;Québec, v;99;;129;363;31;35;88;22;1;8;185;7
748;Charlesbourg;2018-10-01;G;Québec, v;99;;130;366;29;32;106;10;1;4;182;4
748;Charlesbourg;2018-10-01;G;Québec, v;99;;131;373;24;27;98;16;1;11;177;3
748;Charlesbourg;2018-10-01;G;Québec, v;100;;132;328;36;19;92;34;0;13;194;8
748;Charlesbourg;2018-10-01;G;Québec, v;100;;133;335;29;25;94;31;0;5;184;5
