Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Berthiaume Jean-Patrick B.P.;Charlebois Lucie P.L.Q./Q.L.P.;D.-Henry Samuelle P.Q.;Jitaru Bianca P.V.Q./G.P.Q.;Larue-Bourdages Maxime Q.S.;Madelein Etienne N.P.D.Q.;Marquis Patrick É.A.;Picard Marilyne C.A.Q.-É.F.L.;Prud'homme Dominik C.P.Q.;Trombino Felice P.C.Q./C.P.Q.;B.V.;B.R.;
220;Soulanges;2018-10-01;G;Les Cèdres, m;1;;97;405;0;39;29;2;28;4;0;100;2;0;204;2;
220;Soulanges;2018-10-01;G;Pointe-des-Cascades, vl;1;;98;334;2;52;29;3;25;2;0;108;2;0;223;2;
220;Soulanges;2018-10-01;G;Pointe-des-Cascades, vl;1;;99;293;1;29;24;5;35;2;0;80;4;1;181;3;
220;Soulanges;2018-10-01;G;Pointe-des-Cascades, vl;1;;100;322;0;47;16;2;28;1;0;82;1;0;177;2;
220;Soulanges;2018-10-01;G;Pointe-des-Cascades, vl;1;;101;302;2;23;17;2;26;1;0;87;2;1;161;4;
220;Soulanges;2018-10-01;G;Saint-Lazare, v;1;;102;385;3;144;4;5;13;2;0;38;1;2;212;1;
220;Soulanges;2018-10-01;G;Saint-Lazare, v;1;;103;394;0;116;5;5;11;1;0;45;1;4;188;3;
220;Soulanges;2018-10-01;G;Saint-Lazare, v;1;;104;369;0;149;1;7;5;2;0;30;0;10;204;1;
220;Soulanges;2018-10-01;G;Saint-Lazare, v;1;;105;379;2;161;4;1;3;2;0;43;0;4;220;0;
220;Soulanges;2018-10-01;G;Saint-Lazare, v;1;;106;387;2;150;4;3;5;4;1;39;1;3;212;0;
220;Soulanges;2018-10-01;G;Saint-Lazare, v;1;;107;388;0;137;3;5;6;0;0;35;0;3;189;1;
220;Soulanges;2018-10-01;G;Saint-Lazare, v;1;;108;393;1;143;8;5;5;3;0;41;0;2;208;0;
220;Soulanges;2018-10-01;G;Saint-Lazare, v;1;;109;403;1;143;8;4;13;3;0;44;0;8;224;4;
220;Soulanges;2018-10-01;G;Saint-Lazare, v;1;;110;391;0;118;6;4;11;2;0;59;0;0;200;3;
220;Soulanges;2018-10-01;G;Saint-Lazare, v;1;;111;404;3;80;21;5;15;3;0;84;0;3;214;0;
220;Soulanges;2018-10-01;G;Saint-Lazare, v;1;;112;381;1;127;7;4;10;10;2;43;0;0;204;3;
220;Soulanges;2018-10-01;G;Saint-Lazare, v;1;;113;396;2;76;18;7;13;2;0;56;0;1;175;2;
220;Soulanges;2018-10-01;G;Saint-Lazare, v;1;;114;390;1;133;5;4;13;2;0;41;0;4;203;0;
220;Soulanges;2018-10-01;G;Saint-Lazare, v;1;;115;383;1;111;20;8;28;3;0;63;0;0;234;0;
220;Soulanges;2018-10-01;G;Saint-Lazare, v;1;;116;397;0;88;15;6;25;7;0;70;0;3;214;2;
220;Soulanges;2018-10-01;G;Saint-Lazare, v;1;;117;392;0;89;18;4;19;5;1;81;0;4;221;1;
220;Soulanges;2018-10-01;G;Saint-Lazare, v;1;;118;397;0;117;7;8;4;2;0;61;0;1;200;0;
220;Soulanges;2018-10-01;G;Saint-Lazare, v;1;;119;387;1;114;10;2;12;1;0;60;0;1;201;1;
220;Soulanges;2018-10-01;G;Saint-Lazare, v;1;;120;390;0;113;3;4;15;3;0;56;0;2;196;1;
220;Soulanges;2018-10-01;G;Saint-Lazare, v;2;;121;394;2;79;8;3;14;4;0;92;1;2;205;0;
220;Soulanges;2018-10-01;G;Saint-Lazare, v;2;;122;391;2;63;18;3;23;2;0;88;0;2;201;1;
220;Soulanges;2018-10-01;G;Saint-Lazare, v;2;;123;386;1;93;16;5;18;2;0;74;2;4;215;2;
220;Soulanges;2018-10-01;G;Saint-Lazare, v;2;;124A;220;1;25;9;4;12;3;0;45;1;0;100;0;
220;Soulanges;2018-10-01;G;Saint-Lazare, v;2;;124B;212;1;40;3;1;11;1;0;46;0;3;106;0;
220;Soulanges;2018-10-01;G;Saint-Lazare, v;2;;125A;247;0;37;6;6;8;3;0;43;0;0;103;2;
220;Soulanges;2018-10-01;G;Saint-Lazare, v;2;;125B;238;2;36;9;2;11;0;0;38;0;2;100;1;
220;Soulanges;2018-10-01;G;Saint-Lazare, v;2;;126;390;0;81;15;6;16;1;1;81;0;1;202;3;
220;Soulanges;2018-10-01;G;Saint-Lazare, v;2;;127;396;0;86;14;1;29;2;0;69;0;5;206;2;
220;Soulanges;2018-10-01;G;Saint-Lazare, v;2;;128;399;1;61;20;6;18;0;0;83;1;2;192;2;
220;Soulanges;2018-10-01;G;Saint-Lazare, v;2;;129;419;0;68;16;5;19;7;0;76;0;0;191;2;
220;Soulanges;2018-10-01;G;Saint-Lazare, v;2;;130;418;1;67;13;6;17;3;0;51;0;2;160;6;
220;Soulanges;2018-10-01;G;Saint-Lazare, v;2;;131;404;1;80;11;1;39;1;0;68;2;1;204;2;
220;Soulanges;2018-10-01;G;Saint-Lazare, v;3;;132;400;0;66;11;6;17;1;0;88;0;1;190;3;
220;Soulanges;2018-10-01;G;Saint-Lazare, v;3;;133;404;0;87;11;7;33;2;0;46;2;4;192;2;
220;Soulanges;2018-10-01;G;Saint-Lazare, v;3;;134;401;1;90;13;1;12;3;1;82;1;2;206;3;
220;Soulanges;2018-10-01;G;Saint-Lazare, v;3;;135;401;0;89;12;11;15;5;0;63;0;3;198;4;
220;Soulanges;2018-10-01;G;Saint-Lazare, v;3;;136;409;1;79;17;8;13;1;0;75;1;2;197;1;
220;Soulanges;2018-10-01;G;Saint-Lazare, v;3;;137;423;0;90;12;4;27;1;1;74;2;2;213;3;
220;Soulanges;2018-10-01;G;Saint-Lazare, v;3;;138;398;0;88;19;6;16;3;0;63;4;3;202;2;
220;Soulanges;2018-10-01;G;Saint-Lazare, v;3;;139;418;0;98;14;9;21;6;1;66;0;4;219;0;
220;Soulanges;2018-10-01;G;Hudson, v;1;;140;375;0;92;0;3;3;1;0;20;0;3;122;0;
220;Soulanges;2018-10-01;G;Hudson, v;1;;141;376;0;157;6;8;7;2;0;24;0;2;206;1;
220;Soulanges;2018-10-01;G;Hudson, v;1;;142;370;0;131;6;10;8;2;0;16;0;2;175;1;
