Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Alarco Jérémie P.V.Q./G.P.Q.;Birnbaum David P.L.Q./Q.L.P.;Cohn Mélodie C.A.Q.-É.F.L.;Johnston Diane P.M.L.Q.;Kumuyange Jean-Claude Q.S.;Loran Yaniv P.C.Q./C.P.Q.;Pion Eliane P.Q.;Smit Leigh N.P.D.Q.;B.V.;B.R.
320;D'Arcy-McGee;2018-10-01;G;Côte-Saint-Luc, v;5;;38;366;4;68;8;0;2;4;0;0;86;3
320;D'Arcy-McGee;2018-10-01;G;Côte-Saint-Luc, v;5;;39;356;0;77;11;4;4;12;0;2;110;0
320;D'Arcy-McGee;2018-10-01;G;Côte-Saint-Luc, v;5;;40;373;0;87;2;2;2;9;0;1;103;0
320;D'Arcy-McGee;2018-10-01;G;Côte-Saint-Luc, v;5;;41;354;1;88;1;0;1;0;2;1;94;2
320;D'Arcy-McGee;2018-10-01;G;Côte-Saint-Luc, v;5;;42;331;4;70;10;0;3;6;0;0;93;1
320;D'Arcy-McGee;2018-10-01;G;Côte-Saint-Luc, v;5;;43;361;3;66;2;0;0;8;1;0;80;1
320;D'Arcy-McGee;2018-10-01;G;Côte-Saint-Luc, v;5;;44;389;2;61;9;1;5;2;1;6;87;5
320;D'Arcy-McGee;2018-10-01;G;Côte-Saint-Luc, v;5;;45;371;0;65;10;0;5;12;0;2;94;3
320;D'Arcy-McGee;2018-10-01;G;Côte-Saint-Luc, v;5;;46;353;2;74;5;0;2;6;0;0;89;0
320;D'Arcy-McGee;2018-10-01;G;Côte-Saint-Luc, v;6;;47;365;16;127;11;0;1;12;0;2;169;0
320;D'Arcy-McGee;2018-10-01;G;Côte-Saint-Luc, v;6;;48;346;4;136;7;0;3;8;3;2;163;1
320;D'Arcy-McGee;2018-10-01;G;Côte-Saint-Luc, v;6;;49;355;4;135;14;1;3;7;1;0;165;0
