Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Beaulieu Daniel P.C.Q./C.P.Q.;Bédard Jean P.M.L.Q.;Huot Alexandre P.Q.;Lamontagne Marie-Christine Q.S.;Lescarbeau Nicholas P.V.Q./G.P.Q.;Simard Jean-François Ind;Simard Jean-François C.A.Q.-É.F.L.;Trudel Marie France P.L.Q./Q.L.P.;B.V.;B.R.;
742;Montmorency;2018-10-01;G;Québec, v;133;;41;381;5;1;20;29;2;0;108;27;192;7;
742;Montmorency;2018-10-01;G;Québec, v;133;;42;369;3;0;28;25;6;2;93;42;199;6;
742;Montmorency;2018-10-01;G;Québec, v;133;;43;383;6;0;25;26;4;3;107;39;210;0;
742;Montmorency;2018-10-01;G;Québec, v;133;;44;376;12;0;29;24;3;2;122;23;215;7;
742;Montmorency;2018-10-01;G;Québec, v;133;;45;382;5;0;21;32;2;2;108;35;205;2;
742;Montmorency;2018-10-01;G;Québec, v;133;;46;373;9;0;34;23;7;0;84;30;187;4;
742;Montmorency;2018-10-01;G;Québec, v;133;;47;395;6;0;22;36;0;1;112;38;215;2;
742;Montmorency;2018-10-01;G;Québec, v;133;;48;377;7;1;27;19;5;0;84;25;168;6;
742;Montmorency;2018-10-01;G;Québec, v;134;;49;403;4;0;21;21;3;4;95;31;179;3;
742;Montmorency;2018-10-01;G;Québec, v;134;;50;372;4;0;16;12;2;0;80;40;154;2;
742;Montmorency;2018-10-01;G;Québec, v;134;;51;383;6;1;26;9;3;3;105;52;205;6;
742;Montmorency;2018-10-01;G;Québec, v;134;;52;387;9;0;23;18;3;1;95;40;189;1;
742;Montmorency;2018-10-01;G;Québec, v;134;;53;379;5;0;14;19;2;3;100;38;181;3;
742;Montmorency;2018-10-01;G;Québec, v;134;;54;387;9;0;19;25;3;0;97;35;188;2;
742;Montmorency;2018-10-01;G;Québec, v;134;;55;379;10;0;22;17;1;2;73;60;185;1;
742;Montmorency;2018-10-01;G;Québec, v;134;;56;382;5;0;17;29;2;2;122;24;201;4;
742;Montmorency;2018-10-01;G;Québec, v;134;;57;376;6;0;17;27;2;0;96;36;184;1;
742;Montmorency;2018-10-01;G;Québec, v;134;;58;387;11;0;21;22;1;0;102;38;195;4;
742;Montmorency;2018-10-01;G;Québec, v;134;;59;380;7;0;23;19;1;0;111;37;198;3;
742;Montmorency;2018-10-01;G;Québec, v;134;;60;377;4;0;22;21;3;2;119;31;202;1;
742;Montmorency;2018-10-01;G;Québec, v;134;;61;369;9;0;16;23;2;0;121;31;202;4;
742;Montmorency;2018-10-01;G;Québec, v;134;;62;373;3;0;15;12;2;0;102;49;183;5;
742;Montmorency;2018-10-01;G;Québec, v;134;;63;383;8;0;18;31;4;4;109;36;210;9;
742;Montmorency;2018-10-01;G;Québec, v;134;;64;388;5;0;15;25;2;3;81;42;173;9;
742;Montmorency;2018-10-01;G;Québec, v;134;;65;380;4;0;20;25;3;1;86;28;167;3;
742;Montmorency;2018-10-01;G;Québec, v;135;;66;390;4;0;10;21;1;2;99;29;166;6;
742;Montmorency;2018-10-01;G;Québec, v;135;;67;382;5;0;18;24;1;0;105;32;185;5;
742;Montmorency;2018-10-01;G;Québec, v;135;;68;396;14;0;14;28;1;0;110;42;209;2;
742;Montmorency;2018-10-01;G;Québec, v;135;;69;390;10;1;16;22;0;3;129;37;218;9;
742;Montmorency;2018-10-01;G;Québec, v;135;;70;384;7;0;25;39;7;2;84;45;209;3;
742;Montmorency;2018-10-01;G;Québec, v;135;;71;383;12;2;28;16;3;0;96;37;194;1;
742;Montmorency;2018-10-01;G;Québec, v;135;;72;386;12;0;16;27;4;1;100;27;187;4;
742;Montmorency;2018-10-01;G;Québec, v;135;;73;398;10;2;13;16;1;4;122;16;184;7;
742;Montmorency;2018-10-01;G;Québec, v;135;;74;385;8;0;16;27;1;1;102;38;193;5;
742;Montmorency;2018-10-01;G;Québec, v;135;;75;401;7;0;15;15;3;0;122;25;187;5;
742;Montmorency;2018-10-01;G;Québec, v;135;;76;382;7;0;16;25;2;1;102;30;183;0;
742;Montmorency;2018-10-01;G;Québec, v;135;;77;397;7;0;22;17;1;2;126;29;204;3;
742;Montmorency;2018-10-01;G;Québec, v;136;;78;376;2;0;24;31;4;0;106;33;200;1;
742;Montmorency;2018-10-01;G;Québec, v;136;;79;378;8;0;8;25;4;0;122;24;191;4;
