Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Bruneau Jacynthe P.Q.;Cardin Christine Q.S.;Giguère Pierre P.L.Q./Q.L.P.;Gosselin Jacques C.P.Q.;Hamel Ugo P.C.Q./C.P.Q.;Tardif Marie-Louise C.A.Q.-É.F.L.;B.V.;B.R.
670;Laviolette-Saint-Maurice;2018-10-01;G;Shawinigan, v;18;;127;389;35;41;37;2;0;74;189;7
670;Laviolette-Saint-Maurice;2018-10-01;G;Shawinigan, v;18;;128;408;29;30;33;1;4;100;197;5
670;Laviolette-Saint-Maurice;2018-10-01;G;Shawinigan, v;18;;129;386;47;40;40;3;4;98;232;5
670;Laviolette-Saint-Maurice;2018-10-01;G;Shawinigan, v;18;;130;387;26;26;36;3;3;113;207;3
670;Laviolette-Saint-Maurice;2018-10-01;G;Shawinigan, v;18;;131;387;37;27;61;1;2;84;212;2
670;Laviolette-Saint-Maurice;2018-10-01;G;Shawinigan, v;19;;132;398;32;19;33;2;3;103;192;3
670;Laviolette-Saint-Maurice;2018-10-01;G;Shawinigan, v;19;;133;408;26;33;43;5;5;131;243;5
670;Laviolette-Saint-Maurice;2018-10-01;G;Shawinigan, v;19;;134;404;22;33;39;2;10;106;212;6
670;Laviolette-Saint-Maurice;2018-10-01;G;Shawinigan, v;19;;135;402;34;28;28;2;4;114;210;5
670;Laviolette-Saint-Maurice;2018-10-01;G;Shawinigan, v;19;;136;417;34;30;42;2;6;90;204;5
670;Laviolette-Saint-Maurice;2018-10-01;G;Shawinigan, v;19;;137;409;40;26;27;0;4;111;208;3
670;Laviolette-Saint-Maurice;2018-10-01;G;Shawinigan, v;19;;138;402;19;34;35;1;7;115;211;6
670;Laviolette-Saint-Maurice;2018-10-01;G;Shawinigan, v;19;;139;399;26;34;37;0;11;129;237;5
670;Laviolette-Saint-Maurice;2018-10-01;G;Lac-Normand, no;1;Regr. BVO-126;140;7;0;0;0;0;0;0;0;0
670;Laviolette-Saint-Maurice;2018-10-01;G;Trois-Rives, m;1;;141;110;7;3;20;8;1;25;64;4
670;Laviolette-Saint-Maurice;2018-10-01;G;Trois-Rives, m;1;;142;270;21;22;15;5;5;83;151;9
670;Laviolette-Saint-Maurice;2018-10-01;G;Saint-Roch-de-Mékinac, p;1;;143;285;17;20;44;4;3;69;157;9
670;Laviolette-Saint-Maurice;2018-10-01;G;Grandes-Piles, vl;1;;144;382;33;53;42;1;9;90;228;3
670;Laviolette-Saint-Maurice;2018-10-01;G;Notre-Dame-du-Mont-Carmel, p;1;;145;391;33;36;27;5;5;80;186;9
670;Laviolette-Saint-Maurice;2018-10-01;G;Notre-Dame-du-Mont-Carmel, p;1;;146;391;26;29;48;4;3;91;201;6
670;Laviolette-Saint-Maurice;2018-10-01;G;Notre-Dame-du-Mont-Carmel, p;1;;147;368;25;33;25;1;5;87;176;7
670;Laviolette-Saint-Maurice;2018-10-01;G;Notre-Dame-du-Mont-Carmel, p;1;;148;371;23;25;29;1;1;87;166;8
670;Laviolette-Saint-Maurice;2018-10-01;G;Notre-Dame-du-Mont-Carmel, p;1;;149;370;32;32;23;0;10;78;175;5
670;Laviolette-Saint-Maurice;2018-10-01;G;Notre-Dame-du-Mont-Carmel, p;1;;150;407;29;42;28;3;6;104;212;7
670;Laviolette-Saint-Maurice;2018-10-01;G;Notre-Dame-du-Mont-Carmel, p;1;;151;377;27;38;18;1;5;102;191;5
670;Laviolette-Saint-Maurice;2018-10-01;G;Notre-Dame-du-Mont-Carmel, p;1;;152;381;26;27;27;3;2;93;178;2
670;Laviolette-Saint-Maurice;2018-10-01;G;Notre-Dame-du-Mont-Carmel, p;1;;153;379;25;32;35;4;5;82;183;3
670;Laviolette-Saint-Maurice;2018-10-01;G;Notre-Dame-du-Mont-Carmel, p;1;;154;383;21;22;14;1;3;104;165;7
670;Laviolette-Saint-Maurice;2018-10-01;G;Notre-Dame-du-Mont-Carmel, p;1;;155;373;24;25;20;1;10;77;157;5
670;Laviolette-Saint-Maurice;2018-10-01;G;Notre-Dame-du-Mont-Carmel, p;1;;156;374;35;16;27;1;3;100;182;3
670;Laviolette-Saint-Maurice;2018-10-01;G;La Tuque, v;4;Regr. BVO-28;500;27;0;0;0;0;0;0;0;0
