Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Anglade Dominique P.L.Q./Q.L.P.;Duford Jean-Pierre P.V.Q./G.P.Q.;Ella-Oyono Dieudonné P.Q.;Gagnon-Paquin Félix B.P.;Hamel Sylvie C.A.Q.-É.F.L.;Orchard Caroline P.C.Q./C.P.Q.;Racette Benoit Q.S.;Scott Steven N.P.D.Q.;Sullivan Linda P.M.L.Q.;Young Christopher C.I.N.Q.;B.V.;B.R.;
326;Saint-Henri-Sainte-Anne;2018-10-01;G;Montréal, v;103;Regr. BVO-104;503;72;0;0;0;0;0;0;0;0;0;0;0;0;
326;Saint-Henri-Sainte-Anne;2018-10-01;G;Montréal, v;104;Regr. BVO-125;504;61;0;0;0;0;0;0;0;0;0;0;0;0;
326;Saint-Henri-Sainte-Anne;2018-10-01;G;BVA1: SV no 1 à 6;;;;0;134;3;42;0;87;1;39;7;1;0;314;3;
326;Saint-Henri-Sainte-Anne;2018-10-01;G;BVA2: SV no 7 à 12;;;;0;111;8;28;0;82;0;51;1;0;1;282;5;
326;Saint-Henri-Sainte-Anne;2018-10-01;G;BVA3: SV no 13 à 19;;;;0;111;5;45;2;112;4;75;4;1;1;360;15;
326;Saint-Henri-Sainte-Anne;2018-10-01;G;BVA4: SV no 20 à 25;;;;0;46;8;26;1;78;1;53;1;0;1;215;6;
326;Saint-Henri-Sainte-Anne;2018-10-01;G;BVA5: SV no 26 à 30;;;;0;43;5;28;1;49;0;59;2;1;1;189;5;
326;Saint-Henri-Sainte-Anne;2018-10-01;G;BVA6: SV no 31 à 35;;;;0;57;5;36;0;48;2;39;7;1;1;196;2;
326;Saint-Henri-Sainte-Anne;2018-10-01;G;BVA7: SV no 36 à 40;;;;0;144;4;31;1;85;5;39;2;0;0;311;1;
326;Saint-Henri-Sainte-Anne;2018-10-01;G;BVA8: SV no 41 à 46;;;;0;68;5;39;0;74;3;61;8;0;1;259;9;
326;Saint-Henri-Sainte-Anne;2018-10-01;G;BVA9: SV no 47 à 52;;;;0;49;4;56;0;59;1;55;3;0;0;227;6;
326;Saint-Henri-Sainte-Anne;2018-10-01;G;BVA10: SV no 53 à 58;;;;0;40;7;34;3;46;2;47;4;1;0;184;5;
326;Saint-Henri-Sainte-Anne;2018-10-01;G;BVA11: SV no 59 à 65;;;;0;87;6;32;0;66;1;63;2;1;2;260;5;
326;Saint-Henri-Sainte-Anne;2018-10-01;G;BVA12: SV no 66 à 71;;;;0;33;9;21;0;26;0;35;2;0;1;127;5;
326;Saint-Henri-Sainte-Anne;2018-10-01;G;BVA13: SV no 72 à 78;;;;0;131;10;38;2;54;2;91;10;1;0;339;3;
326;Saint-Henri-Sainte-Anne;2018-10-01;G;BVA14: SV no 79 à 83;;;;0;55;4;13;0;41;0;41;3;1;0;158;3;
326;Saint-Henri-Sainte-Anne;2018-10-01;G;BVA15: SV no 84 à 89;;;;0;71;3;17;0;19;0;60;4;0;1;175;3;
326;Saint-Henri-Sainte-Anne;2018-10-01;G;BVA16: SV no 90 à 94;;;;0;84;3;9;1;27;0;25;5;0;1;155;2;
326;Saint-Henri-Sainte-Anne;2018-10-01;G;BVA17: SV no 95 à 99;;;;0;162;4;24;0;30;2;30;10;0;0;262;1;
326;Saint-Henri-Sainte-Anne;2018-10-01;G;BVA18: SV no 100 à 105;;;;0;144;3;11;1;26;1;29;3;1;0;219;1;
326;Saint-Henri-Sainte-Anne;2018-10-01;G;BVA19: SV no 106 à 111;;;;0;79;9;27;0;31;2;45;1;0;0;194;0;
326;Saint-Henri-Sainte-Anne;2018-10-01;G;BVA20: SV no 112 à 118;;;;0;116;5;22;1;45;1;60;3;0;1;254;0;
326;Saint-Henri-Sainte-Anne;2018-10-01;G;BVA21: SV no 119 à 124;;;;0;67;5;26;0;39;0;30;3;1;0;171;3;
326;Saint-Henri-Sainte-Anne;2018-10-01;G;BVA22: SV no 125 à 130;;;;0;43;5;14;0;14;1;49;7;1;0;134;0;
326;Saint-Henri-Sainte-Anne;2018-10-01;G;BVA23: SV no 131 à 136;;;;0;60;3;16;1;25;0;46;0;1;0;152;3;
326;Saint-Henri-Sainte-Anne;2018-10-01;G;BVA24: SV no 137 à 141;;;;0;46;1;13;1;18;0;37;1;0;0;117;3;
326;Saint-Henri-Sainte-Anne;2018-10-01;G;BVA25: SV no 142 à 146;;;;0;61;1;14;0;18;1;35;3;0;1;134;4;
326;Saint-Henri-Sainte-Anne;2018-10-01;G;Vote en installation d'hébergement;;;;0;60;3;29;6;47;6;15;3;1;3;173;13;
326;Saint-Henri-Sainte-Anne;2018-10-01;G;Vote itinérant et au domicile de l'électeur;;;;0;7;0;5;1;2;0;11;0;0;0;26;4;
326;Saint-Henri-Sainte-Anne;2018-10-01;G;Vote au bureau du directeur du scrutin;;;;0;706;50;171;3;281;22;448;49;5;6;1741;37;
326;Saint-Henri-Sainte-Anne;2018-10-01;G;Vote dans les établissements d'enseignement;;Regr. BVDS-1;;0;0;0;0;0;0;0;0;0;0;0;0;0;
326;Saint-Henri-Sainte-Anne;2018-10-01;G;Vote hors circonscription;;;;0;107;17;28;1;28;4;207;9;2;0;403;13;
326;Saint-Henri-Sainte-Anne;2018-10-01;G;Vote hors Québec;;Regr. VHC-1;;55;0;0;0;0;0;0;0;0;0;0;0;0;
326;Saint-Henri-Sainte-Anne;2018-10-01;G;Vote des détenus;;Regr. VHC-1;;14;0;0;0;0;0;0;0;0;0;0;0;0;
326;Saint-Henri-Sainte-Anne;2018-10-01;G;Total de la circonscription;;;;55994;11837;1009;3568;202;5809;380;7413;690;91;103;31102;597;
326;Saint-Henri-Sainte-Anne;2018-10-01;G;Majorité en faveur de Dominique Anglade : 4424
