Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Benoit Jeff P.C.Q./C.P.Q.;Chassé Marie-Chantal C.A.Q.-É.F.L.;Garcia-McDiarmid Sandrine Q.S.;Masucci-Lauzon Marie-Ève N.P.D.Q.;Moreau Pierre P.L.Q./Q.L.P.;Stevenson Stephanie P.V.Q./G.P.Q.;Thériault Jean-Philippe P.Q.;B.V.;B.R.
226;Châteauguay;2018-10-01;G;Châteauguay, v;9;;69A;201;1;18;9;0;49;5;7;89;2
226;Châteauguay;2018-10-01;G;Châteauguay, v;9;;69B;239;1;22;14;3;19;1;6;66;4
226;Châteauguay;2018-10-01;G;Châteauguay, v;9;;70;405;2;43;25;5;79;5;11;170;1
226;Châteauguay;2018-10-01;G;Châteauguay, v;10;;71;336;2;39;20;3;76;3;8;151;2
226;Châteauguay;2018-10-01;G;Châteauguay, v;10;;72;361;1;52;18;1;60;2;11;145;4
226;Châteauguay;2018-10-01;G;Châteauguay, v;10;;73;364;3;48;27;2;64;2;15;161;3
226;Châteauguay;2018-10-01;G;Châteauguay, v;10;;74;365;2;52;22;0;84;2;25;187;4
226;Châteauguay;2018-10-01;G;Châteauguay, v;10;;75;352;6;54;22;2;58;1;23;166;5
226;Châteauguay;2018-10-01;G;Châteauguay, v;10;;76;365;8;55;14;0;59;4;7;147;3
226;Châteauguay;2018-10-01;G;Châteauguay, v;11;;77;361;3;52;19;0;61;3;31;169;2
226;Châteauguay;2018-10-01;G;Châteauguay, v;11;;78;380;2;48;18;3;82;8;18;179;4
226;Châteauguay;2018-10-01;G;Châteauguay, v;11;;79;380;2;51;15;1;47;5;22;143;0
226;Châteauguay;2018-10-01;G;Châteauguay, v;11;;80;371;1;39;17;2;51;3;17;130;0
226;Châteauguay;2018-10-01;G;Châteauguay, v;11;;81;379;1;44;32;3;40;4;4;128;2
226;Châteauguay;2018-10-01;G;Châteauguay, v;11;;82;383;2;53;12;0;92;1;15;175;1
226;Châteauguay;2018-10-01;G;Châteauguay, v;12;;83;372;7;60;22;3;52;4;13;161;3
226;Châteauguay;2018-10-01;G;Châteauguay, v;12;;84;358;0;38;17;0;66;8;19;148;1
226;Châteauguay;2018-10-01;G;Châteauguay, v;12;;85;353;0;60;18;3;65;4;18;168;2
226;Châteauguay;2018-10-01;G;Châteauguay, v;13;;86;392;2;59;25;2;74;4;20;186;3
226;Châteauguay;2018-10-01;G;Châteauguay, v;13;;87;398;3;47;24;2;88;1;14;179;6
226;Châteauguay;2018-10-01;G;Châteauguay, v;13;;88;380;0;55;18;3;81;3;19;179;4
