Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;B-Godbout Anne Q.S.;Dubois Carole P.V.Q./G.P.Q.;Fitzgibbon Pierre C.A.Q.-É.F.L.;Goyette Mathieu C.P.Q.;Néron Jules P.C.Q./C.P.Q.;Selam Margaux P.L.Q./Q.L.P.;Traversy Mathieu P.Q.;B.V.;B.R.;
542;Terrebonne;2018-10-01;G;Terrebonne, v;14;;103;284;31;3;40;1;0;17;50;142;1;
542;Terrebonne;2018-10-01;G;Terrebonne, v;14;;104;283;15;4;70;3;4;15;33;144;2;
542;Terrebonne;2018-10-01;G;Terrebonne, v;15;;105;378;18;2;36;1;0;9;97;163;4;
542;Terrebonne;2018-10-01;G;Terrebonne, v;15;;106;384;30;2;46;1;0;12;82;173;4;
542;Terrebonne;2018-10-01;G;Terrebonne, v;15;;107;401;39;1;70;2;3;12;69;196;0;
542;Terrebonne;2018-10-01;G;Terrebonne, v;15;;108;393;37;1;63;2;1;5;72;181;4;
542;Terrebonne;2018-10-01;G;Terrebonne, v;15;;109;384;28;4;62;0;3;10;49;156;4;
542;Terrebonne;2018-10-01;G;Terrebonne, v;15;;110;394;38;1;57;2;0;11;59;168;8;
542;Terrebonne;2018-10-01;G;Terrebonne, v;16;;111;394;31;4;95;1;2;11;65;209;5;
542;Terrebonne;2018-10-01;G;Terrebonne, v;16;;112;363;28;2;53;2;3;7;53;148;6;
542;Terrebonne;2018-10-01;G;Terrebonne, v;16;;113;369;26;1;47;0;0;17;53;144;6;
542;Terrebonne;2018-10-01;G;Terrebonne, v;16;;114;390;25;3;56;3;2;21;42;152;5;
542;Terrebonne;2018-10-01;G;Terrebonne, v;16;;115;385;23;3;47;2;2;12;74;163;8;
542;Terrebonne;2018-10-01;G;Terrebonne, v;17;;116;394;27;2;45;1;5;20;39;139;1;
542;Terrebonne;2018-10-01;G;Terrebonne, v;17;;117;406;30;0;95;0;8;11;82;226;2;
542;Terrebonne;2018-10-01;G;Terrebonne, v;17;;118;386;24;1;71;1;1;20;66;184;5;
542;Terrebonne;2018-10-01;G;Terrebonne, v;17;;119;396;37;3;73;2;0;15;59;189;7;
542;Terrebonne;2018-10-01;G;Terrebonne, v;17;;120;400;22;5;71;0;1;14;57;170;5;
542;Terrebonne;2018-10-01;G;Terrebonne, v;17;;121;396;24;4;85;3;3;22;50;191;3;
542;Terrebonne;2018-10-01;G;Terrebonne, v;17;;122;415;25;1;77;3;2;22;67;197;4;
542;Terrebonne;2018-10-01;G;Terrebonne, v;17;;123;390;20;0;91;3;4;20;62;200;7;
542;Terrebonne;2018-10-01;G;Terrebonne, v;18;;124;383;25;2;105;2;1;37;65;237;7;
542;Terrebonne;2018-10-01;G;Terrebonne, v;18;;125;379;15;0;91;1;2;25;54;188;3;
542;Terrebonne;2018-10-01;G;Terrebonne, v;18;;126;371;20;4;89;2;3;23;64;205;5;
542;Terrebonne;2018-10-01;G;Terrebonne, v;18;;127;374;32;2;85;1;0;27;42;189;3;
542;Terrebonne;2018-10-01;G;Terrebonne, v;18;;128;384;21;1;67;1;1;33;44;168;3;
542;Terrebonne;2018-10-01;G;Terrebonne, v;18;;129;390;29;4;77;1;1;12;46;170;4;
542;Terrebonne;2018-10-01;G;Terrebonne, v;18;;130;388;32;7;86;0;2;30;50;207;3;
542;Terrebonne;2018-10-01;G;Terrebonne, v;18;;131;379;34;3;73;3;1;17;62;193;3;
542;Terrebonne;2018-10-01;G;Terrebonne, v;18;;132;394;38;5;99;4;1;15;63;225;4;
542;Terrebonne;2018-10-01;G;Terrebonne, v;18;;133;388;31;1;81;2;1;26;69;211;2;
542;Terrebonne;2018-10-01;G;Terrebonne, v;18;;134;385;22;2;83;0;0;18;66;191;8;
542;Terrebonne;2018-10-01;G;Terrebonne, v;18;;135;384;41;4;69;0;1;35;73;223;5;
542;Terrebonne;2018-10-01;G;Terrebonne, v;18;;136;382;33;3;92;0;0;20;75;223;3;
542;Terrebonne;2018-10-01;G;Terrebonne, v;18;;137;379;35;3;51;1;1;18;67;176;2;
