Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Baland Eric-Abel N.P.D.Q.;Beaudoin Mathieu P.C.Q./C.P.Q.;Beaumier Sarah C.A.Q.-É.F.L.;Boily Gabriel C.P.Q.;Dandenault Christine P.M.L.Q.;Leduc Alexandre Q.S.;Mallette Etienne B.P.;Poirier Carole P.Q.;Provencher-Proulx Julien P.L.Q./Q.L.P.;B.V.;B.R.;
352;Hochelaga-Maisonneuve;2018-10-01;G;Montréal, v;337;;77;417;0;2;32;1;0;120;3;52;13;223;3;
352;Hochelaga-Maisonneuve;2018-10-01;G;Montréal, v;337;;78;411;2;4;25;3;0;88;1;40;11;174;7;
352;Hochelaga-Maisonneuve;2018-10-01;G;Montréal, v;338;;79;381;3;1;29;0;0;77;1;62;20;193;4;
352;Hochelaga-Maisonneuve;2018-10-01;G;Montréal, v;338;;80;393;1;1;30;1;0;87;0;46;18;184;1;
352;Hochelaga-Maisonneuve;2018-10-01;G;Montréal, v;338;;81;401;4;0;25;0;0;110;1;58;10;208;5;
352;Hochelaga-Maisonneuve;2018-10-01;G;Montréal, v;338;;82;372;4;1;20;0;0;79;2;26;7;139;9;
352;Hochelaga-Maisonneuve;2018-10-01;G;Montréal, v;338;;83;383;3;1;19;0;0;69;0;38;30;160;4;
352;Hochelaga-Maisonneuve;2018-10-01;G;Montréal, v;339;;84;354;3;2;20;1;0;96;1;41;21;185;4;
352;Hochelaga-Maisonneuve;2018-10-01;G;Montréal, v;339;;85;351;2;0;14;1;0;63;0;42;8;130;7;
352;Hochelaga-Maisonneuve;2018-10-01;G;Montréal, v;339;;86;363;6;1;13;1;0;72;0;30;20;143;1;
352;Hochelaga-Maisonneuve;2018-10-01;G;Montréal, v;339;;87;378;2;1;19;1;0;89;1;35;12;160;6;
352;Hochelaga-Maisonneuve;2018-10-01;G;Montréal, v;339;;88;365;1;3;22;2;0;75;1;54;27;185;6;
352;Hochelaga-Maisonneuve;2018-10-01;G;Montréal, v;339;;89;354;3;0;20;1;1;97;1;40;15;178;4;
352;Hochelaga-Maisonneuve;2018-10-01;G;Montréal, v;339;;90;363;1;2;19;0;0;57;0;22;36;137;2;
352;Hochelaga-Maisonneuve;2018-10-01;G;Montréal, v;340;;91;387;3;0;16;2;1;59;1;28;18;128;2;
352;Hochelaga-Maisonneuve;2018-10-01;G;Montréal, v;340;;92;404;2;1;22;0;1;65;1;33;27;152;2;
352;Hochelaga-Maisonneuve;2018-10-01;G;Montréal, v;340;;93;385;2;1;37;0;0;86;0;42;14;182;3;
352;Hochelaga-Maisonneuve;2018-10-01;G;Montréal, v;340;;94;385;4;2;46;0;1;67;0;60;35;215;0;
352;Hochelaga-Maisonneuve;2018-10-01;G;Montréal, v;340;;95;410;4;1;20;1;0;47;0;35;49;157;0;
352;Hochelaga-Maisonneuve;2018-10-01;G;Montréal, v;340;;96;413;3;1;42;1;0;84;1;43;33;208;7;
352;Hochelaga-Maisonneuve;2018-10-01;G;Montréal, v;340;;97;380;2;0;35;0;1;72;1;39;9;159;3;
352;Hochelaga-Maisonneuve;2018-10-01;G;Montréal, v;340;;98;394;7;0;33;1;0;88;1;52;28;210;3;
352;Hochelaga-Maisonneuve;2018-10-01;G;Montréal, v;340;;99;397;8;2;39;0;0;87;0;42;18;196;0;
352;Hochelaga-Maisonneuve;2018-10-01;G;Montréal, v;340;;100;389;2;0;20;3;0;73;2;31;31;162;4;
352;Hochelaga-Maisonneuve;2018-10-01;G;Montréal, v;340;;101;395;3;1;14;4;0;49;1;35;48;155;0;
352;Hochelaga-Maisonneuve;2018-10-01;G;Montréal, v;341;;102;375;4;0;26;1;0;102;2;47;17;199;7;
352;Hochelaga-Maisonneuve;2018-10-01;G;Montréal, v;341;;103;370;1;1;32;0;0;83;0;50;32;199;9;
352;Hochelaga-Maisonneuve;2018-10-01;G;Montréal, v;341;;104;392;2;2;23;2;0;67;1;48;24;169;1;
352;Hochelaga-Maisonneuve;2018-10-01;G;Montréal, v;341;;105;368;1;2;33;0;0;53;1;57;17;164;11;
